Country,Crop,Information,Year,Value,Source
Canada,Canary seed,Yield (Hg/Ha),2009,13646.49,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2009,77700,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2009,27464.61,Calculated data
Canada,Maize,Area harvested (Ha),2009,1142000,Official data
Canada,Maize,Yield (Hg/Ha),2009,83723.29,Calculated data
Canada,Oats,Area harvested (Ha),2009,980400,Official data
Canada,Oats,Yield (Hg/Ha),2009,29641.98,Calculated data
Canada,Rye,Area harvested (Ha),2009,115400,Official data
Canada,Rye,Yield (Hg/Ha),2009,24306.76,Calculated data
Canada,Triticale,Area harvested (Ha),2009,12100,Official data
Canada,Triticale,Yield (Hg/Ha),2009,24793.39,Calculated data
United States of America,Barley,Area harvested (Ha),2009,1259800,Official data
United States of America,Barley,Yield (Hg/Ha),2009,39286.95,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2009,78912,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2009,10930.91,Calculated data
United States of America,Maize,Area harvested (Ha),2009,3.22E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2009,103376.1,Calculated data
United States of America,Millet,Area harvested (Ha),2009,107240,Official data
United States of America,Millet,Yield (Hg/Ha),2009,18769.12,Calculated data
United States of America,Oats,Area harvested (Ha),2009,558070,Official data
United States of America,Oats,Yield (Hg/Ha),2009,24209.69,Calculated data
United States of America,Rye,Area harvested (Ha),2009,101980,Official data
United States of America,Rye,Yield (Hg/Ha),2009,17418.12,Calculated data
United States of America,Sorghum,Area harvested (Ha),2009,2233890,Official data
United States of America,Sorghum,Yield (Hg/Ha),2009,43548.34,Calculated data
Canada,Barley,Area harvested (Ha),2008,3501600,Official data
Canada,Barley,Yield (Hg/Ha),2008,33645.76,Calculated data
Canada,Canary seed,Area harvested (Ha),2008,163900,Official data
Canada,Canary seed,Yield (Hg/Ha),2008,11934.11,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2008,79600,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2008,27876.88,Calculated data
Canada,Maize,Area harvested (Ha),2008,1168800,Official data
Canada,Maize,Yield (Hg/Ha),2008,90622.86,Calculated data
Canada,Oats,Area harvested (Ha),2008,1448400,Official data
Canada,Oats,Yield (Hg/Ha),2008,29498.76,Calculated data
Canada,Rye,Area harvested (Ha),2008,131500,Official data
Canada,Rye,Yield (Hg/Ha),2008,24045.63,Calculated data
Canada,Triticale,Area harvested (Ha),2008,15800,Official data
Canada,Triticale,Yield (Hg/Ha),2008,23987.34,Calculated data
United States of America,Barley,Area harvested (Ha),2008,1529324,Official data
United States of America,Barley,Yield (Hg/Ha),2008,34195.44,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2008,83000,FAO estimate
United States of America,Buckwheat,Yield (Hg/Ha),2008,10000,Calculated data
United States of America,Maize,Area harvested (Ha),2008,3.18E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2008,96596.19,Calculated data
United States of America,Millet,Area harvested (Ha),2008,186157,Official data
United States of America,Millet,Yield (Hg/Ha),2008,17975.2,Calculated data
United States of America,Oats,Area harvested (Ha),2008,566566,Official data
United States of America,Oats,Yield (Hg/Ha),2008,22835.73,Calculated data
United States of America,Rye,Area harvested (Ha),2008,108862,Official data
United States of America,Rye,Yield (Hg/Ha),2008,18617.61,Calculated data
United States of America,Sorghum,Area harvested (Ha),2008,2942500,Official data
United States of America,Sorghum,Yield (Hg/Ha),2008,40774.99,Calculated data
Canada,Barley,Area harvested (Ha),2007,3997700,Official data
Canada,Barley,Yield (Hg/Ha),2007,27475.55,Calculated data
Canada,Buckwheat,Area harvested (Ha),2007,2000,Official data
Canada,Buckwheat,Yield (Hg/Ha),2007,11500,Calculated data
Canada,Canary seed,Area harvested (Ha),2007,174000,Official data
Canada,Canary seed,Yield (Hg/Ha),2007,9310.34,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2007,96100,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2007,27325.7,Calculated data
Canada,Maize,Area harvested (Ha),2007,1368700,Official data
Canada,Maize,Yield (Hg/Ha),2007,85107.77,Calculated data
Canada,Oats,Area harvested (Ha),2007,1815700,Official data
Canada,Oats,Yield (Hg/Ha),2007,25864.96,Calculated data
Canada,Rye,Area harvested (Ha),2007,115300,Official data
Canada,Rye,Yield (Hg/Ha),2007,21856.03,Calculated data
Canada,Triticale,Area harvested (Ha),2007,20200,Official data
Canada,Triticale,Yield (Hg/Ha),2007,23267.33,Calculated data
United States of America,Barley,Area harvested (Ha),2007,1417224,Official data
United States of America,Barley,Yield (Hg/Ha),2007,32278.03,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2007,68000,FAO estimate
United States of America,Buckwheat,Yield (Hg/Ha),2007,10000,Calculated data
United States of America,Maize,Area harvested (Ha),2007,3.50E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2007,94584.21,Calculated data
United States of America,Millet,Area harvested (Ha),2007,210439,Official data
United States of America,Millet,Yield (Hg/Ha),2007,18059.72,Calculated data
United States of America,Oats,Area harvested (Ha),2007,608654,Official data
United States of America,Oats,Yield (Hg/Ha),2007,21565.45,Calculated data
United States of America,Rye,Area harvested (Ha),2007,101982,Official data
United States of America,Rye,Yield (Hg/Ha),2007,15719.05,Calculated data
United States of America,Sorghum,Area harvested (Ha),2007,2747910,Official data
United States of America,Sorghum,Yield (Hg/Ha),2007,45983.06,Calculated data
Canada,Barley,Area harvested (Ha),2006,3222900,Official data
Canada,Barley,Yield (Hg/Ha),2006,29703.37,Calculated data
Canada,Buckwheat,Area harvested (Ha),2006,6900,Official data
Canada,Buckwheat,Yield (Hg/Ha),2006,10724.64,Calculated data
Canada,Canary seed,Area harvested (Ha),2006,131100,Official data
Canada,Canary seed,Yield (Hg/Ha),2006,10152.56,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2006,129600,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2006,26736.11,Calculated data
Canada,Maize,Area harvested (Ha),2006,1060900,Official data
Canada,Maize,Yield (Hg/Ha),2006,84737.49,Calculated data
Canada,Oats,Area harvested (Ha),2006,1536800,Official data
Canada,Oats,Yield (Hg/Ha),2006,25066.37,Calculated data
Canada,Rye,Area harvested (Ha),2006,163900,Official data
Canada,Rye,Yield (Hg/Ha),2006,23361.81,Calculated data
Canada,Triticale,Area harvested (Ha),2006,12200,Official data
Canada,Triticale,Yield (Hg/Ha),2006,22049.18,Calculated data
United States of America,Barley,Area harvested (Ha),2006,1194240,Official data
United States of America,Barley,Yield (Hg/Ha),2006,32845.59,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2006,66000,FAO estimate
United States of America,Buckwheat,Yield (Hg/Ha),2006,10000,Calculated data
United States of America,Maize,Area harvested (Ha),2006,2.86E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2006,93576.03,Calculated data
United States of America,Millet,Area harvested (Ha),2006,192228,Official data
United States of America,Millet,Yield (Hg/Ha),2006,11926.72,Calculated data
United States of America,Oats,Area harvested (Ha),2006,632935,Official data
United States of America,Oats,Yield (Hg/Ha),2006,21447.26,Calculated data
United States of America,Rye,Area harvested (Ha),2006,110885,Official data
United States of America,Rye,Yield (Hg/Ha),2006,16477.34,Calculated data
United States of America,Sorghum,Area harvested (Ha),2006,1999220,Official data
United States of America,Sorghum,Yield (Hg/Ha),2006,35171.24,Calculated data
Canada,Barley,Area harvested (Ha),2005,3634000,Official data
Canada,Barley,Yield (Hg/Ha),2005,32134.29,Calculated data
Canada,Buckwheat,Area harvested (Ha),2005,4000,Official data
Canada,Buckwheat,Yield (Hg/Ha),2005,11500,Calculated data
Canada,Canary seed,Area harvested (Ha),2005,182200,Official data
Canada,Canary seed,Yield (Hg/Ha),2005,12469.81,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2005,113700,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2005,27827.62,Calculated data
Canada,Maize,Area harvested (Ha),2005,1084700,Official data
Canada,Maize,Yield (Hg/Ha),2005,86034.85,Calculated data
Canada,Oats,Area harvested (Ha),2005,1271300,Official data
Canada,Oats,Yield (Hg/Ha),2005,25821.6,Calculated data
Canada,Rye,Area harvested (Ha),2005,136100,Official data
Canada,Rye,Yield (Hg/Ha),2005,24276.27,Calculated data
Canada,Triticale,Area harvested (Ha),2005,17000,Official data
Canada,Triticale,Yield (Hg/Ha),2005,25411.76,Calculated data
United States of America,Barley,Area harvested (Ha),2005,1322930,Official data
United States of America,Barley,Yield (Hg/Ha),2005,34872.59,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2005,63087,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2005,11019.39,Calculated data
United States of America,Maize,Area harvested (Ha),2005,3.04E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2005,92851.96,Calculated data
United States of America,Millet,Area harvested (Ha),2005,208415,Official data
United States of America,Millet,Yield (Hg/Ha),2005,14749.95,Calculated data
United States of America,Oats,Area harvested (Ha),2005,737750,Official data
United States of America,Oats,Yield (Hg/Ha),2005,22598.14,Calculated data
United States of America,Rye,Area harvested (Ha),2005,112909,Official data
United States of America,Rye,Yield (Hg/Ha),2005,16955.87,Calculated data
United States of America,Sorghum,Area harvested (Ha),2005,2321300,Official data
United States of America,Sorghum,Yield (Hg/Ha),2005,42997.29,Calculated data
Canada,Barley,Area harvested (Ha),2004,3840700,Official data
Canada,Barley,Yield (Hg/Ha),2004,32693.78,Calculated data
Canada,Buckwheat,Area harvested (Ha),2004,4000,Official data
Canada,Buckwheat,Yield (Hg/Ha),2004,3750,Calculated data
Canada,Canary seed,Area harvested (Ha),2004,317600,Official data
Canada,Canary seed,Yield (Hg/Ha),2004,9461.59,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2004,118800,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2004,28829.97,Calculated data
Canada,Maize,Area harvested (Ha),2004,1072300,Official data
Canada,Maize,Yield (Hg/Ha),2004,82409.77,Calculated data
Canada,Oats,Area harvested (Ha),2004,1234300,Official data
Canada,Oats,Yield (Hg/Ha),2004,28090.42,Calculated data
Canada,Rye,Area harvested (Ha),2004,156800,Official data
Canada,Rye,Yield (Hg/Ha),2004,25350.77,Calculated data
Canada,Triticale,Area harvested (Ha),2004,28300,Official data
Canada,Triticale,Yield (Hg/Ha),2004,28268.55,Calculated data
United States of America,Barley,Area harvested (Ha),2004,1627260,Official data
United States of America,Barley,Yield (Hg/Ha),2004,37428.35,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2004,63059,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2004,11703.8,Calculated data
United States of America,Maize,Area harvested (Ha),2004,2.98E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2004,100636.38,Calculated data
United States of America,Millet,Area harvested (Ha),2004,240791,Official data
United States of America,Millet,Yield (Hg/Ha),2004,14069.55,Calculated data
United States of America,Oats,Area harvested (Ha),2004,723180,Official data
United States of America,Oats,Yield (Hg/Ha),2004,23221.19,Calculated data
United States of America,Rye,Area harvested (Ha),2004,121407,Official data
United States of America,Rye,Yield (Hg/Ha),2004,17271.24,Calculated data
United States of America,Sorghum,Area harvested (Ha),2004,2637360,Official data
United States of America,Sorghum,Yield (Hg/Ha),2004,43692.71,Calculated data
Canada,Barley,Area harvested (Ha),2003,4397100,Official data
Canada,Barley,Yield (Hg/Ha),2003,27664.14,Calculated data
Canada,Buckwheat,Area harvested (Ha),2003,9300,Official data
Canada,Buckwheat,Yield (Hg/Ha),2003,10645.16,Calculated data
Canada,Canary seed,Area harvested (Ha),2003,246800,Official data
Canada,Canary seed,Yield (Hg/Ha),2003,9173.42,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2003,135400,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2003,28389.96,Calculated data
Canada,Maize,Area harvested (Ha),2003,1226100,Official data
Canada,Maize,Yield (Hg/Ha),2003,78193.46,Calculated data
Canada,Oats,Area harvested (Ha),2003,1414800,Official data
Canada,Oats,Yield (Hg/Ha),2003,23866.98,Calculated data
Canada,Rye,Area harvested (Ha),2003,147300,Official data
Canada,Rye,Yield (Hg/Ha),2003,22206.38,Calculated data
Canada,Triticale,Area harvested (Ha),2003,33600,Official data
Canada,Triticale,Yield (Hg/Ha),2003,19166.67,Calculated data
United States of America,Barley,Area harvested (Ha),2003,1912970,Official data
United States of America,Barley,Yield (Hg/Ha),2003,31672.1,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2003,64203,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2003,10290.17,Calculated data
United States of America,Maize,Area harvested (Ha),2003,2.87E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2003,89245.69,Calculated data
United States of America,Millet,Area harvested (Ha),2003,250908,Official data
United States of America,Millet,Yield (Hg/Ha),2003,10262.25,Calculated data
United States of America,Oats,Area harvested (Ha),2003,898410,Official data
United States of America,Oats,Yield (Hg/Ha),2003,23326.98,Calculated data
United States of America,Rye,Area harvested (Ha),2003,129096,Official data
United States of America,Rye,Yield (Hg/Ha),2003,16988.29,Calculated data
United States of America,Sorghum,Area harvested (Ha),2003,3155770,Official data
United States of America,Sorghum,Yield (Hg/Ha),2003,33100.95,Calculated data
Canada,Barley,Area harvested (Ha),2002,3341800,Official data
Canada,Barley,Yield (Hg/Ha),2002,22346.34,Calculated data
Canada,Buckwheat,Area harvested (Ha),2002,11900,Official data
Canada,Buckwheat,Yield (Hg/Ha),2002,10252.1,Calculated data
Canada,Canary seed,Area harvested (Ha),2002,226600,Official data
Canada,Canary seed,Yield (Hg/Ha),2002,7833.19,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2002,131800,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2002,27230.65,Calculated data
Canada,Maize,Area harvested (Ha),2002,1283200,Official data
Canada,Maize,Yield (Hg/Ha),2002,70127.81,Calculated data
Canada,Oats,Area harvested (Ha),2002,1378900,Official data
Canada,Oats,Yield (Hg/Ha),2002,21108.85,Calculated data
Canada,Rye,Area harvested (Ha),2002,76800,Official data
Canada,Rye,Yield (Hg/Ha),2002,17421.88,Calculated data
Canada,Triticale,Area harvested (Ha),2002,13300,Official data
Canada,Triticale,Yield (Hg/Ha),2002,19548.87,Calculated data
United States of America,Barley,Area harvested (Ha),2002,1668537,Official data
United States of America,Barley,Yield (Hg/Ha),2002,29607.96,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2002,59486,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2002,9476.01,Calculated data
United States of America,Maize,Area harvested (Ha),2002,2.81E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2002,81179.05,Calculated data
United States of America,Millet,Area harvested (Ha),2002,111290,Official data
United States of America,Millet,Yield (Hg/Ha),2002,7411.81,Calculated data
United States of America,Oats,Area harvested (Ha),2002,832852,Official data
United States of America,Oats,Yield (Hg/Ha),2002,20216.91,Calculated data
United States of America,Rye,Area harvested (Ha),2002,106433,Official data
United States of America,Rye,Yield (Hg/Ha),2002,15484.11,Calculated data
United States of America,Sorghum,Area harvested (Ha),2002,2883000,Official data
United States of America,Sorghum,Yield (Hg/Ha),2002,31782.87,Calculated data
Canada,Barley,Area harvested (Ha),2001,4149500,Official data
Canada,Barley,Yield (Hg/Ha),2001,26137.12,Calculated data
Canada,Buckwheat,Area harvested (Ha),2001,14300,Official data
Canada,Buckwheat,Yield (Hg/Ha),2001,11398.6,Calculated data
Canada,Canary seed,Area harvested (Ha),2001,163400,Official data
Canada,Canary seed,Yield (Hg/Ha),2001,6970.62,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2001,159200,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2001,28046.48,Calculated data
Canada,Maize,Area harvested (Ha),2001,1267500,Official data
Canada,Maize,Yield (Hg/Ha),2001,66186.98,Calculated data
Canada,Oats,Area harvested (Ha),2001,1238400,Official data
Canada,Oats,Yield (Hg/Ha),2001,21727.23,Calculated data
Canada,Rye,Area harvested (Ha),2001,123000,Official data
Canada,Rye,Yield (Hg/Ha),2001,18520.33,Calculated data
Canada,Triticale,Area harvested (Ha),2001,12900,Official data
Canada,Triticale,Yield (Hg/Ha),2001,24186.05,Calculated data
United States of America,Barley,Area harvested (Ha),2001,1729240,Official data
United States of America,Barley,Yield (Hg/Ha),2001,31265.87,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2001,61263,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2001,10063.66,Calculated data
United States of America,Maize,Area harvested (Ha),2001,2.78E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2001,86732.82,Calculated data
United States of America,Millet,Area harvested (Ha),2001,236744,Official data
United States of America,Millet,Yield (Hg/Ha),2001,18432.57,Calculated data
United States of America,Oats,Area harvested (Ha),2001,773363,Official data
United States of America,Oats,Yield (Hg/Ha),2001,22072.34,Calculated data
United States of America,Rye,Area harvested (Ha),2001,101173,Official data
United States of America,Rye,Yield (Hg/Ha),2001,17313.41,Calculated data
United States of America,Sorghum,Area harvested (Ha),2001,3472000,Official data
United States of America,Sorghum,Yield (Hg/Ha),2001,37606.57,Calculated data
Canada,Barley,Area harvested (Ha),2000,4468100,Official data
Canada,Barley,Yield (Hg/Ha),2000,29606.77,Calculated data
Canada,Buckwheat,Area harvested (Ha),2000,14800,Official data
Canada,Buckwheat,Yield (Hg/Ha),2000,9189.19,Calculated data
Canada,Canary seed,Area harvested (Ha),2000,163900,Official data
Canada,Canary seed,Yield (Hg/Ha),2000,10420.99,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2000,145400,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2000,29910.59,Calculated data
Canada,Maize,Area harvested (Ha),2000,1106500,Official data
Canada,Maize,Yield (Hg/Ha),2000,62844.1,Calculated data
Canada,Oats,Area harvested (Ha),2000,1305100,Official data
Canada,Oats,Yield (Hg/Ha),2000,26076.93,Calculated data
Canada,Rye,Area harvested (Ha),2000,114500,Official data
Canada,Rye,Yield (Hg/Ha),2000,22733.62,Calculated data
Canada,Triticale,Area harvested (Ha),2000,36400,Official data
Canada,Triticale,Yield (Hg/Ha),2000,24642.86,Calculated data
United States of America,Barley,Area harvested (Ha),2000,2104388,Official data
United States of America,Barley,Yield (Hg/Ha),2000,32880.01,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2000,65000,FAO estimate
United States of America,Buckwheat,Yield (Hg/Ha),2000,10000,Calculated data
United States of America,Maize,Area harvested (Ha),2000,2.93E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2000,85910.22,Calculated data
United States of America,Millet,Area harvested (Ha),2000,149735,Official data
United States of America,Millet,Yield (Hg/Ha),2000,10993.56,Calculated data
United States of America,Oats,Area harvested (Ha),2000,940904,Official data
United States of America,Oats,Yield (Hg/Ha),2000,23011.17,Calculated data
United States of America,Rye,Area harvested (Ha),2000,119788,Official data
United States of America,Rye,Yield (Hg/Ha),2000,17782.5,Calculated data
United States of America,Sorghum,Area harvested (Ha),2000,3126630,Official data
United States of America,Sorghum,Yield (Hg/Ha),2000,38226.17,Calculated data
Canada,Barley,Area harvested (Ha),1999,4069300,Official data
Canada,Barley,Yield (Hg/Ha),1999,32428.18,Calculated data
Canada,Buckwheat,Area harvested (Ha),1999,13200,Official data
Canada,Buckwheat,Yield (Hg/Ha),1999,9469.7,Calculated data
Canada,Canary seed,Area harvested (Ha),1999,145700,Official data
Canada,Canary seed,Yield (Hg/Ha),1999,11393.27,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),1999,153200,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),1999,29164.49,Calculated data
Canada,Maize,Area harvested (Ha),1999,1148800,Official data
Canada,Maize,Yield (Hg/Ha),1999,79746.69,Calculated data
Canada,Oats,Area harvested (Ha),1999,1398400,Official data
Canada,Oats,Yield (Hg/Ha),1999,26039.04,Calculated data
Canada,Rye,Area harvested (Ha),1999,168700,Official data
Canada,Rye,Yield (Hg/Ha),1999,22916.42,Calculated data
Canada,Triticale,Area harvested (Ha),1999,41700,Official data
Canada,Triticale,Yield (Hg/Ha),1999,30263.79,Calculated data
United States of America,Barley,Area harvested (Ha),1999,1916000,Official data
United States of America,Barley,Yield (Hg/Ha),1999,31852.82,Calculated data
United States of America,Buckwheat,Area harvested (Ha),1999,63000,FAO estimate
United States of America,Buckwheat,Yield (Hg/Ha),1999,10000,Calculated data
United States of America,Maize,Area harvested (Ha),1999,2.85E+07,Official data
United States of America,Maize,Yield (Hg/Ha),1999,83978.61,Calculated data
United States of America,Millet,Area harvested (Ha),1999,218530,Official data
United States of America,Millet,Yield (Hg/Ha),1999,18587.38,Calculated data
United States of America,Oats,Area harvested (Ha),1999,992700,Official data
United States of America,Oats,Yield (Hg/Ha),1999,21376.05,Calculated data
United States of America,Rye,Area harvested (Ha),1999,155000,Official data
United States of America,Rye,Yield (Hg/Ha),1999,18090.32,Calculated data
United States of America,Sorghum,Area harvested (Ha),1999,3457700,Official data
United States of America,Sorghum,Yield (Hg/Ha),1999,43722.71,Calculated data
Canada,Barley,Area harvested (Ha),1998,4272000,Official data
Canada,Barley,Yield (Hg/Ha),1998,29748.83,Calculated data
Canada,Buckwheat,Area harvested (Ha),1998,14400,Official data
Canada,Buckwheat,Yield (Hg/Ha),1998,10277.78,Calculated data
Canada,Canary seed,Area harvested (Ha),1998,208400,Official data
Canada,Canary seed,Yield (Hg/Ha),1998,11290.79,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),1998,197800,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),1998,27704.75,Calculated data
Canada,Maize,Area harvested (Ha),1998,1118300,Official data
Canada,Maize,Yield (Hg/Ha),1998,80053.65,Calculated data
Canada,Oats,Area harvested (Ha),1998,1591600,Official data
