Year,Month,Average,Interpolated,Trend,Daily_mean
2009,12,387.31,387.31,388.13,21
2010,1,388.5,388.5,388.23,28
2010,2,389.94,389.94,389.06,25
2010,3,391.09,391.09,389.6,28
2010,4,392.52,392.52,389.94,28
2010,5,393.04,393.04,389.86,30
2010,6,392.15,392.15,389.84,29
2010,7,390.22,390.22,389.75,31
2010,8,388.26,388.26,389.94,31
2010,9,386.83,386.83,390.09,30
2010,10,387.2,387.2,390.49,31
2010,11,388.65,388.65,390.79,30
2010,12,389.73,389.73,390.54,31
2011,1,391.25,391.25,390.99,29
2011,2,391.82,391.82,391,28
2011,3,392.49,392.49,390.99,30
2011,4,393.34,393.34,390.67,28
2011,5,394.21,394.21,390.98,31
2011,6,393.72,393.72,391.37,28
2011,7,392.42,392.42,391.94,31
2011,8,390.19,390.19,391.91,29
2011,9,389.04,389.04,392.34,28
2011,10,388.96,388.96,392.27,31
2011,11,390.24,390.24,392.42,29
2011,12,391.83,391.83,392.63,30
2012,1,393.12,393.12,392.86,30
2012,2,393.6,393.6,392.78,27
2012,3,394.45,394.45,392.94,31
2012,4,396.18,396.18,393.51,30
2012,5,396.78,396.78,393.55,31
2012,6,395.83,395.83,393.48,28
2012,7,394.3,394.3,393.81,29
2012,8,392.41,392.41,394.14,31
2012,9,391.06,391.06,394.35,29
2012,10,391.01,391.01,394.32,30
2012,11,392.81,392.81,394.98,29
2012,12,394.28,394.28,395.09,30
2013,1,395.54,395.54,395.28,31
2013,2,396.8,396.8,395.98,28
2013,3,397.31,397.31,395.81,30
2013,4,398.35,398.35,395.67,26
2013,5,399.76,399.76,396.54,31
2013,6,398.58,398.58,396.24,27
2013,7,397.2,397.2,396.71,28
2013,8,395.15,395.15,396.87,31
2013,9,393.51,393.51,396.8,28
2013,10,393.66,393.66,396.97,30
2013,11,395.11,395.11,397.28,30
2013,12,396.81,396.81,397.61,31
2014,1,397.8,397.8,397.54,31
2014,2,397.91,397.91,397.09,27
2014,3,399.59,399.59,398.09,28
2014,4,401.27,401.27,398.6,29
2014,5,401.83,401.83,398.61,25
2014,6,401.15,401.15,398.8,30
2014,7,399,399,398.52,31
2014,8,397.01,397.01,398.73,25
2014,9,395.28,395.28,398.57,28
2014,10,395.93,395.93,399.24,26
2014,11,397.13,397.13,399.3,28
